id,playlist_id,playlist_name,artist_name,artistid,name,username,added_at,explicit,duration,popularity,danceability,loudness,tempo,acousticness,energy,valence,liveness,speechiness,genres
02Msss3kY3GSGgeY8oUGMF,spotify:playlist:37i9dQZF1DWSlw12ofHcMM,Swagger,Dorothy,https://open.spotify.com/artist/6IOvhXyk5edbA2DVaeP9Up,Raise Hell,,2021-02-18,False,181868,0,0.542,-6.285,79.978,0.0247,0.682,0.758,0.489,0.0284,"['modern alternative rock', 'modern blues rock', 'modern hard rock']"
02Msss3kY3GSGgeY8oUGMF,spotify:playlist:37i9dQZF1DX58NJL8iVBGW,Southern Gothic,Dorothy,https://open.spotify.com/artist/6IOvhXyk5edbA2DVaeP9Up,Raise Hell,,2021-01-27,False,181868,0,0.542,-6.285,79.978,0.0247,0.682,0.758,0.489,0.0284,"['modern alternative rock', 'modern blues rock', 'modern hard rock']"
2Bcu8cmU7qYu3qXLowHQie,spotify:playlist:37i9dQZF1DWSlw12ofHcMM,Swagger,Dan Auerbach,https://open.spotify.com/artist/6YWdHD3R863Apw1hkx3BwC,"Heartbroken, in Disrepair",,2021-02-18,False,201280,33,0.6,-8.434,77.728,0.00925,0.9,0.918,0.269,0.0457,"['funk', 'garage rock', 'indie folk', 'modern blues rock', 'modern rock']"
2Bcu8cmU7qYu3qXLowHQie,spotify:playlist:37i9dQZF1DWSKpvyAAcaNZ,Blues & Roots Rock,Dan Auerbach,https://open.spotify.com/artist/6YWdHD3R863Apw1hkx3BwC,"Heartbroken, in Disrepair",,2021-02-19,False,201280,33,0.6,-8.434,77.728,0.00925,0.9,0.918,0.269,0.0457,"['funk', 'garage rock', 'indie folk', 'modern blues rock', 'modern rock']"
5qX4r5vT9bY8xMsiKuZhQn,spotify:playlist:37i9dQZF1DWSlw12ofHcMM,Swagger,Ben Miller Band,https://open.spotify.com/artist/692LYMl7s0bV6X3iduX5rG,Get Right Church,,2021-02-18,False,224226,42,0.481,-4.986,105.781,0.0146,0.888,0.593,0.0972,0.0534,"['lo star', 'modern blues rock']"
5qX4r5vT9bY8xMsiKuZhQn,spotify:playlist:37i9dQZF1DX58NJL8iVBGW,Southern Gothic,Ben Miller Band,https://open.spotify.com/artist/692LYMl7s0bV6X3iduX5rG,Get Right Church,,2021-01-27,False,224226,42,0.481,-4.986,105.781,0.0146,0.888,0.593,0.0972,0.0534,"['lo star', 'modern blues rock']"
5gLr6cmDqa1FI4qhb7sUsw,spotify:playlist:37i9dQZF1DWSlw12ofHcMM,Swagger,The Dead Weather,https://open.spotify.com/artist/4AZab8zo2nTYd7ORDmQu0V,I Feel Love (Every Million Miles),,2021-02-18,False,195999,0,0.404,-6.76,93.92,0.0091,0.919,0.207,0.0932,0.139,"['alternative rock', 'blues rock', 'garage rock', 'indie rock', 'modern alternative rock']"
5gLr6cmDqa1FI4qhb7sUsw,spotify:playlist:37i9dQZF1DWSKpvyAAcaNZ,Blues & Roots Rock,The Dead Weather,https://open.spotify.com/artist/4AZab8zo2nTYd7ORDmQu0V,I Feel Love (Every Million Miles),,2021-02-19,False,195999,0,0.404,-6.76,93.92,0.0091,0.919,0.207,0.0932,0.139,"['alternative rock', 'blues rock', 'garage rock', 'indie rock', 'modern alternative rock']"
398QU045BgD0nsMgxedVCG,spotify:playlist:37i9dQZF1DWSlw12ofHcMM,Swagger,Quaker City Night Hawks,https://open.spotify.com/artist/521Jw1ixgckc0WJHhm2Klu,Good Evening,,2021-02-18,False,279106,0,0.527,-6.799,105.509,0.0134,0.606,0.267,0.418,0.0305,"['alternative roots rock', 'deep new americana', 'fort worth indie', 'modern blues rock']"
398QU045BgD0nsMgxedVCG,spotify:playlist:37i9dQZF1DWSKpvyAAcaNZ,Blues & Roots Rock,Quaker City Night Hawks,https://open.spotify.com/artist/521Jw1ixgckc0WJHhm2Klu,Good Evening,,2021-02-19,False,279106,0,0.527,-6.799,105.509,0.0134,0.606,0.267,0.418,0.0305,"['alternative roots rock', 'deep new americana', 'fort worth indie', 'modern blues rock']"
